,,,,,,,,,,,,,,,,,,,,
Start time (UTC)/yyyy-mm-dd,Start time (UTC)/hh:mm:ss,Duration/h:mm:ss,Pkt loss/fraction/×10-2,Total and fraction of traffic/IPv4/pkts,Total and fraction of traffic/IPv4/×10-2,Total and fraction of traffic/IPv6/pkts,Total and fraction of traffic/IPv6/×10-4,Total and fraction of traffic/other/pkts,Total and fraction of traffic/other/×10-4,Mean transmission rate/pkts/s,Mean transmission rate/bits/s,Mean transmission rate/load,flows/s,Packet size (bytes)/IPv4/Mean,Packet size (bytes)/IPv4/Median,Packet size (bytes)/IPv6/Mean,Packet size (bytes)/IPv6/Median,Packet size (bytes)/CDF,Packet size (bytes)/data,Location
 2018-12-20   , 12:59:09 , +01:02:00 , 0.2 , 2352824016 , 98.76 , 29447517 , 123.61 , 0 , 0.00 , 640.22 k ,  4.55 G , 45.7 % , 37.39 k , 896 , 1.40 k , 244 , 129 ,   graph ,   file ,nyc (dirA)
 2018-11-15   , 12:59:10 , +01:01:59 , 0.1 , 2280990208 , 98.83 , 26951188 , 116.78 , 0 , 0.00 , 620.41 k ,  4.49 G , 45.1 % , 31.80 k , 913 , 1.40 k , 243 , 129 ,   graph ,   file ,nyc (dirA)
 2018-10-18   , 12:59:09 , +01:01:59 , 0.1 , 2366521520 , 99.16 , 19977497 , 83.71 , 0 , 0.00 , 641.53 k ,  4.37 G , 43.9 % , 35.41 k , 857 , 1.38 k , 322 , 126 ,   graph ,   file ,nyc (dirA)
 2018-09-21   , 12:59:09 , +01:01:59 , 0.0 , 2082250512 , 98.24 , 37295547 , 175.96 , 0 , 0.00 , 569.77 k ,  3.53 G , 35.5 % , 42.08 k , 785 , 865 , 217 , 127 ,   graph ,   file ,nyc (dirA)
 2018-08-16   , 12:59:10 , +01:01:59 , 0.0 , 2299798253 , 99.07 , 21660733 , 93.31 , 0 , 0.00 , 624.05 k ,  4.45 G , 44.7 % , 29.24 k , 896 , 1.40 k , 408 , 129 ,   graph ,   file ,nyc (dirA)
 2018-07-19   , 12:59:10 , +01:02:01 , 0.0 , 2003474873 , 98.75 , 25433498 , 125.36 , 0 , 0.00 , 545.11 k ,  3.99 G , 40.1 % , 25.76 k , 924 , 1.40 k , 239 , 125 ,   graph ,   file ,nyc (dirA)
 2018-06-21   , 12:59:10 , +01:01:59 , 0.0 , 2184823130 , 99.44 , 12228031 , 55.66 , 0 , 0.00 , 590.61 k ,  4.26 G , 42.8 % , 25.68 k , 905 , 1.40 k , 257 , 127 ,   graph ,   file ,nyc (dirA)
 2018-05-17   , 12:59:10 , +01:02:01 , 0.0 , 2174467593 , 98.62 , 30389143 , 137.83 , 0 , 0.00 , 592.38 k ,  4.26 G , 42.8 % , 25.01 k , 910 , 1.41 k , 210 , 194 ,   graph ,   file ,nyc (dirA)
 2018-04-19   , 12:59:09 , +01:01:59 , 0.0 , 2054520738 , 99.15 , 17514040 , 84.53 , 0 , 0.00 , 557.00 k ,  3.86 G , 38.8 % , 26.43 k , 872 , 1.40 k , 205 , 159 ,   graph ,   file ,nyc (dirA)
 2018-03-15   , 12:59:10 , +01:01:59 , 0.0 , 1563570347 , 99.45 , 8625567 , 54.86 , 0 , 0.00 , 422.63 k ,  3.01 G , 30.3 % , 20.55 k , 894 , 1.38 k , 281 , 156 ,   graph ,   file ,nyc (dirA)
 2019-01-17   , 12:59:10 , +01:02:00 , 0.1 , 5598527450 , 96.43 , 207323550 , 357.09 , 0 , 0.00 , 1.56 M ,  4.72 G , 47.5 % , 90.72 k , 372 , 64 , 551 , 111 ,   graph ,   file ,nyc (dirB)
 2018-12-20   , 12:59:09 , +01:02:00 , 0.0 , 5966880877 , 94.16 , 370296490 , 584.32 , 0 , 0.00 , 1.70 M ,  5.50 G , 55.2 % , 95.99 k , 381 , 64 , 756 , 1.28 k ,   graph ,   file ,nyc (dirB)
